Epoch,Train_Loss,Val_Cheap_Loss,Val_Last_T_Loss,Val_TACOs_Reconstruct_L1
1,1.328797,1.148659,1.211919,N/A
2,1.105918,1.086714,1.167202,N/A
3,1.073791,1.074334,1.158039,N/A
4,1.062099,1.074748,1.157462,N/A
5,1.055781,1.054782,1.144431,N/A
6,1.046886,1.053624,1.140730,N/A
7,1.039012,1.055214,1.141665,N/A
8,1.032613,1.045224,1.133141,N/A
9,1.024334,1.046264,1.130598,N/A
10,1.017504,1.041171,1.127429,N/A
11,1.011203,1.038844,1.124281,N/A
12,1.004383,1.039109,1.121193,N/A
13,0.998544,1.037431,1.117828,N/A
14,0.992074,1.041314,1.117741,N/A
15,0.986906,1.038852,1.116340,N/A
16,0.981409,1.042278,1.114380,N/A
17,0.976222,1.040347,1.114766,N/A
18,0.971292,1.040492,1.111635,N/A
19,0.965666,1.039885,1.111096,N/A
20,0.961427,1.042593,1.111245,N/A
21,0.956228,1.042593,1.108958,N/A
22,0.952402,1.040331,1.109377,N/A
23,0.947771,1.046396,1.108210,N/A
24,0.943258,1.049257,1.107800,N/A
25,0.939716,1.050306,1.108017,1.093650
26,0.935354,1.053476,1.108556,N/A
27,0.931821,1.051400,1.108101,N/A
28,0.927604,1.051247,1.108464,N/A
29,0.924451,1.053887,1.107286,N/A
30,0.921097,1.051580,1.107441,N/A
31,0.917322,1.059887,1.108798,N/A
32,0.914480,1.059185,1.108127,N/A
33,0.911432,1.062003,1.107683,N/A
