--- Semantic Distance Report (Dataset 1) ---
Average Distance:  0.136476
Closest Distance:  0.069029 (image_03981.jpg)
Farthest Distance: 0.456085 (image_07131.jpg)
--------------------------------------------

Individual Distances:
image_01779.jpg: 0.087788
image_04716.jpg: 0.087794
image_00899.jpg: 0.087814
image_00374.jpg: 0.087863
image_00915.jpg: 0.087902
image_07185.jpg: 0.087964
image_03923.jpg: 0.088092
image_01726.jpg: 0.088147
image_05742.jpg: 0.088150
image_02864.jpg: 0.088197
image_01370.jpg: 0.088200
image_00277.jpg: 0.088241
image_00922.jpg: 0.088245
image_05545.jpg: 0.088273
image_03619.jpg: 0.088278
image_04764.jpg: 0.088322
image_03964.jpg: 0.088332
image_01619.jpg: 0.088368
image_03559.jpg: 0.088409
image_05543.jpg: 0.088410
image_02896.jpg: 0.088414
image_05573.jpg: 0.088421
image_07594.jpg: 0.088430
image_02312.jpg: 0.088433
image_04304.jpg: 0.088435
image_01855.jpg: 0.088446
image_03592.jpg: 0.088483
image_04507.jpg: 0.088563
image_05021.jpg: 0.088567
image_00419.jpg: 0.088574
image_03969.jpg: 0.088594
image_03558.jpg: 0.088603
image_07588.jpg: 0.088633
image_01781.jpg: 0.088648
image_02302.jpg: 0.088666
image_05577.jpg: 0.088700
image_05583.jpg: 0.088710
image_03637.jpg: 0.088770
image_04297.jpg: 0.088807
image_00807.jpg: 0.088815
image_04740.jpg: 0.088862
image_07467.jpg: 0.088865
image_02779.jpg: 0.088879
image_05576.jpg: 0.088894
image_00355.jpg: 0.088995
image_05194.jpg: 0.089069
image_01862.jpg: 0.089084
image_04308.jpg: 0.089119
image_02866.jpg: 0.089143
image_05534.jpg: 0.089218
image_01358.jpg: 0.089229
image_04515.jpg: 0.089235
image_07547.jpg: 0.089346
image_00422.jpg: 0.089374
image_01631.jpg: 0.089399
image_05550.jpg: 0.089424
image_00636.jpg: 0.089430
image_07832.jpg: 0.089432
image_00302.jpg: 0.089447
image_03656.jpg: 0.089462
image_00985.jpg: 0.089512
image_01343.jpg: 0.089527
image_06959.jpg: 0.089535
image_07522.jpg: 0.089546
image_01682.jpg: 0.089590
image_03602.jpg: 0.089591
image_01825.jpg: 0.089599
image_01609.jpg: 0.089601
image_00909.jpg: 0.089646
image_05556.jpg: 0.089656
image_04463.jpg: 0.089679
image_01765.jpg: 0.089712
image_05565.jpg: 0.089731
image_01854.jpg: 0.089761
image_03913.jpg: 0.089796
image_01741.jpg: 0.089815
image_00920.jpg: 0.089823
image_00751.jpg: 0.089832
image_03936.jpg: 0.089852
image_01620.jpg: 0.089868
image_01642.jpg: 0.089893
image_05401.jpg: 0.089899
image_00268.jpg: 0.089909
image_01685.jpg: 0.089969
image_04479.jpg: 0.089999
image_00919.jpg: 0.090003
image_03191.jpg: 0.090022
image_01790.jpg: 0.090071
image_01148.jpg: 0.090083
image_01615.jpg: 0.090138
image_06954.jpg: 0.090177
image_03587.jpg: 0.090214
image_02198.jpg: 0.090232
image_02267.jpg: 0.090233
image_01715.jpg: 0.090248
image_04165.jpg: 0.090253
image_00877.jpg: 0.090275
image_01334.jpg: 0.090304
image_03550.jpg: 0.090316
image_04403.jpg: 0.090322
image_04527.jpg: 0.090361
image_00329.jpg: 0.090487
image_04179.jpg: 0.090506
image_04540.jpg: 0.090522
image_07149.jpg: 0.090543
image_00936.jpg: 0.090545
image_03946.jpg: 0.090582
image_00916.jpg: 0.090623
image_03615.jpg: 0.090629
image_03283.jpg: 0.090640
image_02857.jpg: 0.090674
image_02203.jpg: 0.090676
image_03203.jpg: 0.090686
image_04246.jpg: 0.090699
image_02226.jpg: 0.090721
image_01752.jpg: 0.090725
image_01904.jpg: 0.090728
image_00895.jpg: 0.090772
image_03278.jpg: 0.090779
image_00256.jpg: 0.090793
image_01791.jpg: 0.090795
image_01233.jpg: 0.090827
image_07990.jpg: 0.090854
image_06961.jpg: 0.090922
image_04724.jpg: 0.090923
image_01807.jpg: 0.090957
image_04262.jpg: 0.091018
image_01742.jpg: 0.091026
image_04441.jpg: 0.091033
image_02229.jpg: 0.091058
image_03955.jpg: 0.091071
image_01192.jpg: 0.091087
image_03244.jpg: 0.091125
image_01846.jpg: 0.091146
image_07591.jpg: 0.091153
image_00382.jpg: 0.091196
image_01766.jpg: 0.091221
image_05551.jpg: 0.091226
image_03552.jpg: 0.091337
image_00101.jpg: 0.091347
image_01795.jpg: 0.091348
image_01906.jpg: 0.091352
image_00625.jpg: 0.091357
image_05535.jpg: 0.091360
image_04512.jpg: 0.091380
image_02793.jpg: 0.091412
image_01588.jpg: 0.091434
image_02792.jpg: 0.091478
image_07999.jpg: 0.091501
image_03929.jpg: 0.091536
image_01887.jpg: 0.091543
image_01699.jpg: 0.091566
image_05084.jpg: 0.091629
image_04486.jpg: 0.091631
image_02908.jpg: 0.091695
image_01611.jpg: 0.091702
image_04474.jpg: 0.091714
image_03608.jpg: 0.091716
image_00153.jpg: 0.091725
image_00388.jpg: 0.091728
image_02269.jpg: 0.091735
image_03620.jpg: 0.091751
image_04738.jpg: 0.091753
image_01700.jpg: 0.091754
image_00809.jpg: 0.091804
image_01713.jpg: 0.091822
image_04732.jpg: 0.091853
image_04162.jpg: 0.091870
image_07818.jpg: 0.091885
image_04782.jpg: 0.091899
image_05552.jpg: 0.091913
image_03228.jpg: 0.091940
image_03239.jpg: 0.091964
image_07534.jpg: 0.092024
image_04547.jpg: 0.092039
image_00293.jpg: 0.092047
image_04737.jpg: 0.092056
image_03945.jpg: 0.092090
image_05191.jpg: 0.092108
image_02786.jpg: 0.092130
image_04498.jpg: 0.092162
image_00874.jpg: 0.092163
image_04169.jpg: 0.092165
image_01215.jpg: 0.092220
image_02760.jpg: 0.092279
image_03215.jpg: 0.092309
image_01604.jpg: 0.092320
image_00050.jpg: 0.092340
image_03560.jpg: 0.092365
image_00820.jpg: 0.092394
image_06965.jpg: 0.092397
image_05566.jpg: 0.092406
image_04287.jpg: 0.092430
image_03963.jpg: 0.092460
image_02438.jpg: 0.092466
image_00242.jpg: 0.092474
image_01959.jpg: 0.092516
image_02255.jpg: 0.092518
image_03224.jpg: 0.092535
image_01941.jpg: 0.092535
image_01163.jpg: 0.092539
image_01668.jpg: 0.092585
image_05047.jpg: 0.092590
image_05211.jpg: 0.092655
image_07552.jpg: 0.092657
image_05581.jpg: 0.092674
image_00320.jpg: 0.092704
image_07527.jpg: 0.092708
image_01777.jpg: 0.092709
image_04312.jpg: 0.092740
image_01724.jpg: 0.092755
image_06366.jpg: 0.092766
image_07497.jpg: 0.092777
image_02872.jpg: 0.092821
image_00292.jpg: 0.092838
image_00905.jpg: 0.092860
image_00402.jpg: 0.092866
image_03971.jpg: 0.092881
image_03207.jpg: 0.092902
image_07503.jpg: 0.092914
image_05038.jpg: 0.092946
image_04763.jpg: 0.092983
image_04183.jpg: 0.093027
image_05537.jpg: 0.093061
image_00171.jpg: 0.093082
image_03915.jpg: 0.093083
image_00800.jpg: 0.093093
image_02342.jpg: 0.093135
image_06964.jpg: 0.093136
image_02795.jpg: 0.093141
image_01958.jpg: 0.093161
image_00308.jpg: 0.093192
image_00945.jpg: 0.093231
image_05179.jpg: 0.093244
image_00860.jpg: 0.093250
image_03571.jpg: 0.093257
image_00908.jpg: 0.093261
image_03642.jpg: 0.093304
image_03545.jpg: 0.093309
image_00354.jpg: 0.093314
image_01737.jpg: 0.093335
image_04744.jpg: 0.093342
image_02882.jpg: 0.093346
image_00862.jpg: 0.093388
image_00259.jpg: 0.093404
image_03588.jpg: 0.093414
image_03576.jpg: 0.093423
image_06930.jpg: 0.093448
image_04430.jpg: 0.093452
image_04182.jpg: 0.093468
image_01820.jpg: 0.093470
image_00734.jpg: 0.093470
image_01660.jpg: 0.093481
image_01694.jpg: 0.093504
image_03684.jpg: 0.093507
image_01673.jpg: 0.093567
image_04544.jpg: 0.093587
image_02796.jpg: 0.093619
image_01872.jpg: 0.093709
image_00674.jpg: 0.093713
image_00843.jpg: 0.093716
image_00430.jpg: 0.093726
image_00322.jpg: 0.093798
image_05546.jpg: 0.093813
image_00438.jpg: 0.093859
image_01917.jpg: 0.093863
image_01606.jpg: 0.093869
image_01793.jpg: 0.093905
image_02764.jpg: 0.093934
image_01341.jpg: 0.093970
image_02837.jpg: 0.093987
image_02797.jpg: 0.093994
image_05408.jpg: 0.094001
image_00855.jpg: 0.094009
image_00929.jpg: 0.094012
image_04739.jpg: 0.094020
image_01909.jpg: 0.094044
image_02900.jpg: 0.094086
image_04276.jpg: 0.094097
image_03957.jpg: 0.094125
image_02281.jpg: 0.094220
image_02287.jpg: 0.094231
image_07565.jpg: 0.094241
image_07562.jpg: 0.094243
image_02525.jpg: 0.094299
image_07729.jpg: 0.094329
image_07507.jpg: 0.094335
image_00310.jpg: 0.094339
image_00122.jpg: 0.094359
image_02868.jpg: 0.094365
image_00291.jpg: 0.094366
image_03924.jpg: 0.094402
image_05572.jpg: 0.094404
image_02801.jpg: 0.094418
image_04755.jpg: 0.094419
image_05553.jpg: 0.094432
image_05402.jpg: 0.094477
image_03978.jpg: 0.094519
image_03568.jpg: 0.094528
image_03281.jpg: 0.094536
image_00192.jpg: 0.094550
image_03976.jpg: 0.094557
image_00878.jpg: 0.094561
image_05073.jpg: 0.094573
image_05541.jpg: 0.094575
image_04270.jpg: 0.094595
image_03925.jpg: 0.094606
image_00287.jpg: 0.094626
image_03548.jpg: 0.094629
image_08073.jpg: 0.094632
image_01323.jpg: 0.094637
image_01232.jpg: 0.094656
image_00061.jpg: 0.094660
image_02292.jpg: 0.094676
image_05542.jpg: 0.094693
image_03265.jpg: 0.094698
image_03623.jpg: 0.094702
image_03205.jpg: 0.094703
image_01799.jpg: 0.094704
image_05399.jpg: 0.094707
image_07592.jpg: 0.094732
image_00806.jpg: 0.094739
image_00428.jpg: 0.094761
image_00826.jpg: 0.094770
image_03613.jpg: 0.094795
image_03974.jpg: 0.094800
image_02240.jpg: 0.094810
image_03643.jpg: 0.094812
image_07940.jpg: 0.094814
image_02305.jpg: 0.094863
image_00281.jpg: 0.094864
image_00319.jpg: 0.094900
image_00341.jpg: 0.094939
image_00340.jpg: 0.094967
image_01948.jpg: 0.094972
image_01860.jpg: 0.094980
image_02534.jpg: 0.095006
image_02257.jpg: 0.095008
image_04516.jpg: 0.095012
image_01844.jpg: 0.095016
image_00853.jpg: 0.095032
image_00318.jpg: 0.095038
image_04506.jpg: 0.095038
image_01250.jpg: 0.095052
image_01344.jpg: 0.095074
image_00433.jpg: 0.095087
image_07158.jpg: 0.095089
image_07561.jpg: 0.095089
image_03672.jpg: 0.095116
image_00840.jpg: 0.095124
image_01757.jpg: 0.095125
image_03739.jpg: 0.095157
image_03266.jpg: 0.095172
image_03275.jpg: 0.095182
image_01943.jpg: 0.095210
image_04263.jpg: 0.095247
image_00724.jpg: 0.095252
image_01666.jpg: 0.095279
image_03607.jpg: 0.095342
image_02219.jpg: 0.095352
image_05557.jpg: 0.095354
image_04257.jpg: 0.095356
image_00872.jpg: 0.095357
image_07568.jpg: 0.095371
image_02913.jpg: 0.095387
image_01300.jpg: 0.095405
image_01225.jpg: 0.095417
image_05544.jpg: 0.095439
image_00262.jpg: 0.095445
image_07587.jpg: 0.095455
image_01584.jpg: 0.095462
image_00254.jpg: 0.095490
image_07661.jpg: 0.095510
image_06358.jpg: 0.095511
image_01857.jpg: 0.095551
image_01848.jpg: 0.095570
image_05163.jpg: 0.095578
image_03979.jpg: 0.095617
image_00264.jpg: 0.095629
image_00742.jpg: 0.095656
image_03251.jpg: 0.095677
image_01808.jpg: 0.095678
image_02503.jpg: 0.095708
image_02878.jpg: 0.095721
image_01160.jpg: 0.095726
image_05209.jpg: 0.095747
image_03562.jpg: 0.095764
image_03590.jpg: 0.095789
image_00289.jpg: 0.095795
image_02282.jpg: 0.095797
image_07531.jpg: 0.095818
image_04706.jpg: 0.095821
image_00844.jpg: 0.095836
image_00635.jpg: 0.095860
image_03919.jpg: 0.095860
image_01858.jpg: 0.095871
image_01676.jpg: 0.095905
image_00795.jpg: 0.095906
image_04267.jpg: 0.095914
image_07519.jpg: 0.095916
image_01205.jpg: 0.095952
image_02798.jpg: 0.095961
image_02254.jpg: 0.095984
image_01804.jpg: 0.095999
image_00932.jpg: 0.096003
image_00934.jpg: 0.096004
image_04484.jpg: 0.096009
image_07558.jpg: 0.096013
image_02212.jpg: 0.096015
image_02209.jpg: 0.096019
image_01638.jpg: 0.096024
image_02822.jpg: 0.096084
image_00913.jpg: 0.096109
image_00295.jpg: 0.096119
image_06956.jpg: 0.096119
image_02210.jpg: 0.096159
image_06968.jpg: 0.096163
image_01934.jpg: 0.096215
image_03579.jpg: 0.096222
image_05594.jpg: 0.096223
image_02859.jpg: 0.096226
image_01722.jpg: 0.096240
image_05434.jpg: 0.096242
image_05403.jpg: 0.096243
image_00871.jpg: 0.096247
image_07634.jpg: 0.096251
image_01914.jpg: 0.096274
image_01349.jpg: 0.096275
image_04435.jpg: 0.096293
image_01821.jpg: 0.096337
image_08089.jpg: 0.096394
image_04500.jpg: 0.096419
image_00036.jpg: 0.096430
image_05208.jpg: 0.096438
image_03624.jpg: 0.096474
image_05174.jpg: 0.096478
image_05482.jpg: 0.096490
image_01816.jpg: 0.096490
image_05560.jpg: 0.096491
image_03495.jpg: 0.096502
image_02748.jpg: 0.096523
image_01362.jpg: 0.096535
image_01780.jpg: 0.096543
image_02861.jpg: 0.096558
image_01875.jpg: 0.096568
image_01894.jpg: 0.096574
image_00796.jpg: 0.096601
image_07589.jpg: 0.096606
image_03256.jpg: 0.096620
image_01278.jpg: 0.096629
image_00942.jpg: 0.096660
image_04467.jpg: 0.096667
image_01901.jpg: 0.096669
image_03589.jpg: 0.096669
image_02915.jpg: 0.096722
image_03696.jpg: 0.096727
image_07580.jpg: 0.096739
image_06963.jpg: 0.096741
image_02917.jpg: 0.096758
image_07564.jpg: 0.096762
image_01338.jpg: 0.096776
image_02217.jpg: 0.096778
image_07520.jpg: 0.096779
image_07457.jpg: 0.096795
image_02276.jpg: 0.096805
image_00276.jpg: 0.096815
image_03221.jpg: 0.096818
image_02199.jpg: 0.096834
image_02903.jpg: 0.096837
image_03249.jpg: 0.096844
image_05176.jpg: 0.096847
image_05166.jpg: 0.096860
image_05158.jpg: 0.096880
image_01864.jpg: 0.096916
image_00260.jpg: 0.096926
image_02849.jpg: 0.096929
image_01361.jpg: 0.096957
image_04775.jpg: 0.096970
image_03609.jpg: 0.096977
image_07544.jpg: 0.097011
image_04535.jpg: 0.097013
image_05205.jpg: 0.097022
image_02245.jpg: 0.097048
image_05195.jpg: 0.097059
image_02851.jpg: 0.097066
image_00423.jpg: 0.097071
image_03246.jpg: 0.097086
image_01759.jpg: 0.097115
image_00926.jpg: 0.097123
image_07516.jpg: 0.097131
image_00893.jpg: 0.097166
image_05875.jpg: 0.097176
image_00907.jpg: 0.097181
image_01612.jpg: 0.097181
image_01592.jpg: 0.097195
image_03982.jpg: 0.097200
image_03235.jpg: 0.097206
image_03727.jpg: 0.097210
image_03961.jpg: 0.097222
image_07523.jpg: 0.097225
image_01377.jpg: 0.097239
image_00797.jpg: 0.097257
image_01301.jpg: 0.097263
image_04188.jpg: 0.097268
image_00299.jpg: 0.097293
image_02766.jpg: 0.097310
image_01372.jpg: 0.097326
image_00868.jpg: 0.097329
image_04550.jpg: 0.097342
image_03234.jpg: 0.097358
image_02304.jpg: 0.097371
