Epoch,Train_Loss,Val_Cheap_Loss,Val_Last_T_Loss,Val_TACOs_Reconstruct_L1
1,3.652969,2.181124,2.641605,N/A
2,2.132246,2.100412,2.490571,N/A
3,2.053707,1.988482,2.319301,N/A
4,1.901839,1.821227,2.084447,N/A
5,1.766823,1.742819,2.018862,N/A
6,1.682546,1.654953,1.862862,N/A
7,1.621927,1.606085,1.807690,N/A
8,1.577051,1.560275,1.752681,N/A
9,1.525120,1.529168,1.775648,N/A
10,1.482212,1.473893,1.652478,N/A
11,1.456297,1.431929,1.623037,N/A
12,1.412146,1.464069,1.713972,N/A
13,1.380791,1.447507,1.744882,N/A
14,1.366252,1.373022,1.590550,N/A
15,1.331275,1.354480,1.621857,N/A
16,1.310361,1.326737,1.547338,N/A
17,1.296753,1.349206,1.638599,N/A
18,1.279475,1.349273,1.662670,N/A
19,1.268600,1.319827,1.617822,N/A
20,1.263697,1.309861,1.564540,N/A
21,1.243829,1.281635,1.557652,N/A
22,1.235423,1.284039,1.577577,N/A
23,1.226433,1.268155,1.542588,N/A
24,1.224457,1.269061,1.541462,N/A
25,1.215850,1.262108,1.542489,1.309052
26,1.208769,1.269525,1.547410,N/A
27,1.210954,1.294657,1.615462,N/A
28,1.211098,1.267894,1.554517,N/A
29,1.196804,1.269125,1.533250,N/A
30,1.198017,1.266161,1.559628,N/A
31,1.191005,1.290729,1.628944,N/A
32,1.190168,1.262850,1.539520,N/A
33,1.185404,1.267113,1.571208,N/A
34,1.184163,1.287268,1.607027,N/A
35,1.185969,1.277950,1.553763,N/A
36,4.546922,1.841061,2.224091,N/A
37,1.732351,1.641171,1.883678,N/A
38,1.575074,1.550316,1.780612,N/A
39,1.496894,1.487674,1.743337,N/A
40,1.417930,1.396823,1.656691,N/A
41,1.885760,4.271498,10.737159,N/A
42,1.844465,1.649879,1.989986,N/A
43,1.583560,1.529122,1.813704,N/A
44,1.497132,1.467954,1.721360,N/A
45,1.444397,1.440078,1.679433,N/A
46,1.412025,1.409206,1.655556,N/A
47,1.387645,1.400082,1.639136,N/A
48,1.368938,1.382176,1.620260,N/A
49,1.353541,1.359484,1.609911,N/A
50,1.340704,1.360156,1.598893,1.371840
51,1.329824,1.348218,1.594438,N/A
52,1.320181,1.336554,1.589779,N/A
53,1.311565,1.336032,1.571656,N/A
54,1.303307,1.315038,1.564672,N/A
55,1.296130,1.309356,1.563330,N/A
56,1.289708,1.310426,1.578822,N/A
57,1.282571,1.297202,1.552517,N/A
58,1.276037,1.289115,1.559236,N/A
59,1.270135,1.285061,1.539732,N/A
60,1.258516,1.283616,1.533307,N/A
61,1.250815,1.278471,1.541640,N/A
62,1.245414,1.272967,1.541862,N/A
63,1.240697,1.256898,1.516151,N/A
64,1.237028,1.264996,1.518585,N/A
65,1.234491,1.249419,1.509701,N/A
66,1.230541,1.244038,1.511003,N/A
67,1.229369,1.260806,1.524134,N/A
68,1.230106,1.249130,1.512573,N/A
69,1.224704,1.249834,1.507728,N/A
70,1.222411,1.256766,1.522136,N/A
