epoch,lr,train_loss,train_top1,train_top5,train_top10,val_loss,val_top1,val_top5,val_top10
1,0.0009997557473810372,4.952607084710874,0.14947780678851175,0.30004351610095736,0.4016536118363795,4.47113884568012,0.1307300509337861,0.3225806451612903,0.466893039049236
2,0.0009990232305719946,3.3942043025977098,0.3183202785030461,0.5657093124456049,0.6829852045256745,2.970350348483929,0.3310696095076401,0.5806451612903226,0.7147707979626485
3,0.0009978031724785247,1.9895521927336386,0.5661444734551784,0.8022193211488251,0.8701044386422977,2.1489975905782703,0.5042444821731749,0.7436332767402377,0.8353140916808149
4,0.0009960967771506667,1.2345645614973455,0.7201914708442123,0.8981723237597912,0.9427763272410792,1.6838479210039148,0.599320882852292,0.8183361629881154,0.8794567062818336
5,0.0009939057285945933,0.822820460101228,0.8137510879025239,0.9493037423846823,0.9738903394255874,1.3823403453988818,0.6774193548387096,0.8505942275042445,0.9134125636672326
6,0.0009912321891107012,0.49911802065590344,0.8999129677980853,0.9734551784160139,0.9860748476936466,1.2216676089071459,0.7045840407470289,0.8709677419354839,0.9422750424448217
7,0.0009880787971596802,0.337590274536371,0.9284160139251523,0.9852045256744996,0.992384682332463,1.1528965568704395,0.7028862478777589,0.8811544991511036,0.9371816638370118
8,0.0009844486647586726,0.217204000207525,0.9571366405570061,0.9941253263707572,0.9973890339425587,1.067695673131376,0.7419354838709677,0.9015280135823429,0.9439728353140917
9,0.000980345374410087,0.1436871866929832,0.9695387293298521,0.9976066144473456,0.9997824194952132,1.0634531750136604,0.7555178268251274,0.8913412563667232,0.9371816638370118
10,0.0009757729755661012,0.09668849940347712,0.9845517841601392,0.999129677980853,0.9997824194952132,1.0582214158743064,0.7470288624787776,0.8998302207130731,0.9456706281833617
11,0.0009707359806323418,0.07806709255079687,0.9865100087032201,0.9980417754569191,0.999129677980853,1.0289271871586203,0.7758913412563667,0.9015280135823429,0.9405772495755518
12,0.0009652393605146846,0.04723034087111371,0.9939077458659704,1.0,1.0,0.9643244625959413,0.769100169779287,0.9117147707979627,0.9473684210526315
13,0.0009592885397135708,0.03589914379085376,0.9956483899042646,0.9997824194952132,1.0,0.9784803629326294,0.7860780984719864,0.9134125636672326,0.9524617996604414
14,0.0009528893909706799,0.027404272972603692,0.9976066144473456,1.0,1.0,0.9535278138563872,0.7707979626485568,0.9151103565365025,0.9490662139219015
15,0.0009460482294732424,0.025038983925749055,0.9960835509138382,1.0,1.0,0.9645081250493515,0.7843803056027164,0.9100169779286927,0.9490662139219015
16,0.0009387718066217127,0.018433094488293115,0.9984769364664926,1.0,1.0,0.9408496123420768,0.7877758913412564,0.9134125636672326,0.9473684210526315
17,0.0009310673033669524,0.016252359279712664,0.9984769364664926,1.0,1.0,0.9252941247158019,0.7911714770797963,0.9202037351443124,0.9524617996604414
18,0.0009229423231234977,0.015227859873029593,0.9982593559617058,1.0,1.0,0.965450895662421,0.797962648556876,0.9134125636672326,0.9507640067911715
19,0.0009144048842659084,0.012103786825764117,0.9989120974760661,1.0,1.0,0.9702220878900616,0.7945670628183361,0.9168081494057725,0.9507640067911715
20,0.0009054634122155993,0.010190802456906716,0.9997824194952132,1.0,1.0,0.9630026718149364,0.7911714770797963,0.9151103565365025,0.9524617996604414
21,0.000896126731125967,0.008261784237588199,0.9997824194952132,1.0,1.0,0.9598551672869101,0.7928692699490663,0.9168081494057725,0.9507640067911715
22,0.000886404055174016,0.007496106440365133,0.9993472584856397,1.0,1.0,0.9443410319261923,0.7911714770797963,0.9202037351443124,0.9575551782682513
23,0.0008763049794670778,0.008833089434469622,0.999129677980853,1.0,1.0,0.9429877537013315,0.7928692699490663,0.9235993208828522,0.9575551782682513
24,0.000865839470573599,0.008080058095059166,0.9993472584856397,1.0,1.0,0.9645311894157746,0.7962648556876061,0.9168081494057725,0.9524617996604414
25,0.0008550178566873413,0.006698601771376256,0.9995648389904265,1.0,1.0,0.9335239862545641,0.7945670628183361,0.9202037351443124,0.9592529711375212
26,0.0008438508174347012,0.005450541962884866,0.9997824194952132,1.0,1.0,0.9287816755638058,0.801358234295416,0.9134125636672326,0.9558573853989814
27,0.000832349373335208,0.005452610047337955,0.9993472584856397,1.0,1.0,0.9579286172555946,0.7945670628183361,0.9151103565365025,0.9575551782682513
28,0.0008205248749256018,0.005386920073584331,0.9997824194952132,1.0,1.0,0.9621157835416356,0.7928692699490663,0.9185059422750425,0.9575551782682513
29,0.0008083889915582238,0.00568999333474931,0.999129677980853,1.0,1.0,0.9559910775040528,0.7928692699490663,0.9134125636672326,0.9473684210526315
30,0.0007959536998847747,0.006252382515570565,0.999129677980853,1.0,1.0,0.9919589006030499,0.7775891341256367,0.9235993208828522,0.9524617996604414
31,0.0007832312720368051,0.005631044128904843,0.9995648389904265,1.0,1.0,0.9770978917897456,0.7911714770797963,0.9185059422750425,0.9524617996604414
32,0.0007702342635146037,0.00499290432371653,0.9995648389904265,1.0,1.0,0.9823688336463048,0.8047538200339559,0.9151103565365025,0.9507640067911715
33,0.0007569755007964342,0.006353908833651257,0.9986945169712794,1.0,1.0,0.9889103583042812,0.799660441426146,0.9151103565365025,0.9507640067911715
34,0.0007434680686803494,0.005951162045083946,0.999129677980853,1.0,1.0,0.9799745853971342,0.7945670628183361,0.9134125636672326,0.9473684210526315
35,0.0007297252973710761,0.004393287058968302,1.0,1.0,1.0,0.9684659380257028,0.799660441426146,0.9151103565365025,0.9473684210526315
36,0.0007157607493247114,0.003689726611078142,1.0,1.0,1.0,0.9755503021193279,0.797962648556876,0.9134125636672326,0.9490662139219015
37,0.0007015882058642168,0.004081148490896554,0.9993472584856397,1.0,1.0,0.9902212945633712,0.7928692699490663,0.9168081494057725,0.9575551782682513
