Epoch,Train_Loss,Val_Cheap_Loss,Val_Last_T_Loss,Val_TACOs_Reconstruct_L1
1,1.333868,1.157521,1.216345,N/A
2,1.117744,1.096147,1.168652,N/A
3,1.085220,1.079281,1.154220,N/A
4,1.072338,1.073219,1.148977,N/A
5,1.063205,1.062951,1.139372,N/A
6,1.054961,1.060281,1.136817,N/A
7,1.047387,1.050158,1.127863,N/A
8,1.038789,1.047596,1.121299,N/A
9,1.031328,1.046874,1.121398,N/A
10,1.023816,1.042249,1.116929,N/A
11,1.017121,1.041224,1.113921,N/A
12,1.011309,1.039673,1.110180,N/A
13,1.004119,1.036999,1.107600,N/A
14,0.998147,1.037240,1.107098,N/A
15,0.993003,1.032208,1.102415,N/A
16,0.987210,1.040491,1.104695,N/A
17,0.982587,1.038376,1.099224,N/A
18,0.976733,1.039516,1.100298,N/A
19,0.972251,1.034674,1.098137,N/A
20,0.967487,1.046654,1.101030,N/A
21,0.963146,1.040124,1.095755,N/A
22,0.958703,1.040350,1.095683,N/A
23,0.954878,1.042148,1.096150,N/A
24,0.950438,1.042917,1.093899,N/A
25,0.946334,1.042755,1.093683,1.088053
26,0.942737,1.048443,1.096254,N/A
27,0.939172,1.046206,1.091370,N/A
28,0.935791,1.043967,1.089855,N/A
29,0.932077,1.050693,1.092931,N/A
30,0.928439,1.048477,1.091626,N/A
31,0.924873,1.053230,1.091475,N/A
32,0.921754,1.050419,1.091007,N/A
33,0.918705,1.057767,1.093387,N/A
34,0.915827,1.056787,1.092263,N/A
35,0.912765,1.055169,1.091493,N/A
