Epoch,Train_CosDist,Val_Cheap_CosDist,Val_TACOs_Reconstruct_CosDist
1,0.401268,0.192913,N/A
2,0.144803,0.113965,N/A
3,0.101144,0.086469,N/A
4,0.086719,0.083679,N/A
5,0.078155,0.076481,0.210310
6,0.073300,0.074401,N/A
7,0.070495,0.071951,N/A
8,0.067592,0.063601,N/A
9,0.064732,0.066900,N/A
10,0.063394,0.063850,0.198542
