Epoch,Train_Loss,Val_Cheap_Loss,Val_Last_T_Loss,Val_TACOs_Reconstruct_L1
1,2.431380,1.972133,1.965823,N/A
2,1.914170,1.791112,1.780456,N/A
3,1.681788,1.601373,1.580636,N/A
4,1.550209,1.502223,1.475987,N/A
5,1.466711,1.434397,1.407520,N/A
6,1.379060,1.340701,1.331812,N/A
7,1.304901,1.278759,1.297040,N/A
8,1.277599,1.518648,1.528965,N/A
9,1.274482,1.233231,1.273179,N/A
10,1.219804,1.218059,1.260194,N/A
11,1.206326,1.205042,1.251672,N/A
12,1.197008,1.198364,1.246415,N/A
13,1.190690,1.194033,1.242676,N/A
14,1.185537,1.189434,1.239327,N/A
15,1.185069,1.185387,1.237944,N/A
16,1.179273,1.181850,1.235775,N/A
17,1.177051,1.186711,1.236798,N/A
18,1.175305,1.181381,1.233575,N/A
19,1.172379,1.199437,1.239529,N/A
20,1.180056,1.180040,1.229309,N/A
21,1.166002,1.192386,1.236977,N/A
22,1.165694,1.177846,1.226705,N/A
23,1.162635,1.176228,1.225529,N/A
24,1.160979,1.173986,1.226143,N/A
25,1.157648,1.169586,1.222307,1.300739
26,1.808553,1.806446,1.797723,N/A
27,1.579845,1.407113,1.415343,N/A
28,1.314190,1.262643,1.302409,N/A
29,1.232584,1.215930,1.264443,N/A
30,1.542766,1.724737,1.734962,N/A
31,1.469138,1.350890,1.363995,N/A
32,1.297354,1.267710,1.303644,N/A
33,1.242929,1.232696,1.279337,N/A
34,1.220344,1.215129,1.265353,N/A
35,1.200288,1.193399,1.243638,N/A
36,1.183433,1.189282,1.238250,N/A
37,1.178396,1.181190,1.232746,N/A
38,1.175623,1.176783,1.231562,N/A
39,1.172626,1.185254,1.233187,N/A
40,1.171360,1.176422,1.227595,N/A
41,1.168433,1.178652,1.229540,N/A
42,1.166548,1.170834,1.224261,N/A
43,1.165646,1.191296,1.233129,N/A
44,1.165615,1.176170,1.224821,N/A
45,1.163110,1.185524,1.226262,N/A
