epoch,lr,train_loss,train_mse_loss,train_cosine_loss,val_loss,val_mse_loss,val_cosine_loss,val_standardized_mse_mean,val_standardized_mse_median,val_standardized_mae_mean,val_standardized_mae_median,val_standardized_cosine_mean,val_standardized_cosine_median,val_standardized_cosine_p05,val_standardized_cosine_p95,val_raw_mse_mean,val_raw_mse_median,val_raw_mae_mean,val_raw_mae_median,val_raw_l2_mean,val_raw_l2_median,val_raw_cosine_mean,val_raw_cosine_std,val_raw_cosine_median,val_raw_cosine_p05,val_raw_cosine_p95,val_raw_angle_deg_mean,val_raw_angle_deg_median
1,0.0001009090909090909,1.148456661769322,1.0590955792154584,0.89361089856284,0.9994315482548305,0.9263095731735229,0.7312196753365653,0.9263095855712891,0.9039443731307983,0.7654598355293274,0.7596113681793213,0.26878032088279724,0.27105817198753357,0.13000430166721344,0.39494481682777405,0.007573382463306189,0.007287250366061926,0.06803606450557709,0.06733031570911407,1.9590766429901123,1.931598424911499,0.9531364440917969,0.009356244467198849,0.9545719623565674,0.93668133020401,0.9648698568344116,17.532270431518555,17.336345672607422
2,0.0002009090909090909,0.9858655080795288,0.9151780428886414,0.7068746437345232,0.946389972959246,0.8808419579097203,0.6554801898002625,0.8808419108390808,0.8580399751663208,0.7458469867706299,0.7398377656936646,0.34451982378959656,0.3475722074508667,0.20740856230258942,0.4701831042766571,0.007194440346211195,0.006918800994753838,0.06626719236373901,0.06560345739126205,1.9083915948867798,1.8821334838867188,0.9555433988571167,0.009401502087712288,0.9570101499557495,0.9388765096664429,0.9674030542373657,17.063217163085938,16.86121940612793
3,0.0003009090909090909,0.9462150402750288,0.8809434458187648,0.6527159486498152,0.9244504756927491,0.8616753111566816,0.6277516685213361,0.8616753220558167,0.8396250605583191,0.7371294498443604,0.730932891368866,0.3722483217716217,0.37521892786026,0.23314455151557922,0.4996749758720398,0.007031966466456652,0.006746547296643257,0.06547056883573532,0.06480281054973602,1.8858211040496826,1.8585565090179443,0.9565789699554443,0.009577928110957146,0.9581151008605957,0.9392736554145813,0.968624472618103,16.85426902770996,16.641551971435547
4,0.0004009090909090909,0.9223300053732736,0.8599577711650304,0.6237223294121879,0.9123832168579101,0.8510150451660157,0.6136816791806902,0.8510150909423828,0.8303669691085815,0.7325848340988159,0.7272363901138306,0.38631829619407654,0.3900691568851471,0.24697493016719818,0.516219973564148,0.006944778375327587,0.006677914876490831,0.06506938487291336,0.06448639929294586,1.87423574924469,1.8490787744522095,0.957128643989563,0.009362459182739258,0.9586294889450073,0.9407280683517456,0.9691753387451172,16.747602462768555,16.538330078125
5,0.0005009090909090909,0.904013624055045,0.8437166075706481,0.6029701749256678,0.9042075756617954,0.8437792318889072,0.6042835249219622,0.8437792062759399,0.8243141174316406,0.7294214367866516,0.7241464853286743,0.39571645855903625,0.3984740078449249,0.25251877307891846,0.5283818244934082,0.006886161398142576,0.006629177834838629,0.06479097902774811,0.06419608741998672,1.8662757873535156,1.8423190116882324,0.957497775554657,0.009312308393418789,0.9588862657546997,0.9407778978347778,0.9695702195167542,16.673986434936523,16.486572265625
6,0.000600909090909091,0.8870049706867763,0.8285431074414934,0.58461863892419,0.8970635534695217,0.837423736844744,0.5963981590270996,0.8374237418174744,0.8151475191116333,0.7263997197151184,0.7207216024398804,0.40360185503959656,0.40786534547805786,0.2559543550014496,0.5406139492988586,0.0068338243290781975,0.006565821822732687,0.06451788544654846,0.0639125257730484,1.858718752861023,1.8334941864013672,0.9578278660774231,0.009425755590200424,0.9593018293380737,0.9408853650093079,0.9699727296829224,16.60500144958496,16.40245819091797
7,0.0007009090909090909,0.8694397192001343,0.8128090816225324,0.5663063701220921,0.8937921957969666,0.8344581090382167,0.5933409011023385,0.8344581723213196,0.8121566772460938,0.725246250629425,0.7194703817367554,0.4066590964794159,0.4098491072654724,0.2574688196182251,0.5447520613670349,0.006812412291765213,0.006548875942826271,0.06441948562860489,0.06380078196525574,1.8557326793670654,1.8311265707015991,0.9579623341560364,0.009419450536370277,0.9593779444694519,0.9410855174064636,0.9701855182647705,16.57746124267578,16.387012481689453
8,0.000800909090909091,0.852126641205379,0.797247138432094,0.5487950314113071,0.8952612057413374,0.8359093090466091,0.5935189481462751,0.8359093070030212,0.8136250972747803,0.7257218360900879,0.7195419669151306,0.4064810574054718,0.4100492596626282,0.24988818168640137,0.5480793118476868,0.006829041987657547,0.006569288205355406,0.0644715204834938,0.0638953223824501,1.8578085899353027,1.8339780569076538,0.9578578472137451,0.009523126296699047,0.9593087434768677,0.9407167434692383,0.9702819585800171,16.596126556396484,16.40106201171875
9,0.0009009090909090909,0.8350265440940857,0.7817920973641532,0.5323444525854928,0.8982968698229109,0.8387207848685129,0.5957608293124608,0.8387208580970764,0.8172231912612915,0.7268843650817871,0.7208076119422913,0.4042391777038574,0.40560734272003174,0.24688738584518433,0.5528664588928223,0.006852226797491312,0.0065755052492022514,0.06457244604825974,0.06395985186100006,1.8605353832244873,1.834845781326294,0.957715630531311,0.009745853953063488,0.9592651128768921,0.9399877190589905,0.9703558087348938,16.620641708374023,16.40991973876953
10,0.001,0.817585994720459,0.765963488987514,0.516225054536547,0.9026990692956107,0.8427128512518747,0.5998622225352696,0.8427128791809082,0.820526659488678,0.7285065650939941,0.7231147289276123,0.4001377522945404,0.4032515585422516,0.23108342289924622,0.5590315461158752,0.0068939076736569405,0.006610628217458725,0.06473056226968765,0.06416627764701843,1.8656433820724487,1.8397395610809326,0.9574458599090576,0.010066000744700432,0.9588730335235596,0.9394074082374573,0.9705495834350586,16.668607711791992,16.48924446105957
11,0.0009999316524962345,0.7969485997472491,0.747185548033033,0.4976305317878723,0.9096048714773995,0.8493325155803135,0.6027235123770578,0.8493325710296631,0.8294540643692017,0.7314383387565613,0.7269232273101807,0.39727646112442017,0.4002254605293274,0.22502575814723969,0.5597061514854431,0.006961336359381676,0.00672224210575223,0.06502260267734528,0.06456615030765533,1.8750234842300415,1.8552056550979614,0.9570273160934448,0.010002792812883854,0.9583526849746704,0.9391518235206604,0.9703198075294495,16.752792358398438,16.593965530395508
12,0.000999726628670463,0.7707475598880222,0.7232604130336217,0.47487149960654124,0.9170293267795018,0.8564545273780823,0.6057479504176548,0.8564544916152954,0.8344857096672058,0.7342289090156555,0.7296128273010254,0.39425206184387207,0.39696019887924194,0.21336720883846283,0.5649302005767822,0.007028666790574789,0.006760884542018175,0.06527814269065857,0.06473809480667114,1.8829396963119507,1.8605302572250366,0.9566052556037903,0.010563075542449951,0.9580212831497192,0.9376897811889648,0.9706220030784607,16.82535743713379,16.660316467285156
13,0.0009993849845741523,0.7439904271534511,0.698747978755406,0.45242446538380215,0.9272083484785898,0.8661826910972595,0.6102565984725952,0.8661826848983765,0.8442115187644958,0.7382388114929199,0.7335178256034851,0.3897434175014496,0.3910520076751709,0.21055971086025238,0.5695824027061462,0.007119682151824236,0.00684205861762166,0.06565111130475998,0.06518267095088959,1.8944214582443237,1.8716661930084229,0.9560592770576477,0.01095978170633316,0.9575216770172119,0.9368146061897278,0.9705997705459595,16.926124572753906,16.75986671447754
14,0.0009989068136093873,0.7174553937911987,0.6743631422860282,0.43092252935682024,0.9320668345860073,0.8707833861623492,0.6128344523566109,0.8707833290100098,0.8504970073699951,0.7400565147399902,0.7363626956939697,0.38716551661491394,0.3872445523738861,0.2017718106508255,0.5687216520309448,0.0071565681137144566,0.006888742092996836,0.06581229716539383,0.06537656486034393,1.8992892503738403,1.8780405521392822,0.9558300971984863,0.011008970439434052,0.9571437239646912,0.9362782835960388,0.9707849025726318,16.969566345214844,16.834808349609375
15,0.000998292246503335,0.6924592864853996,0.6513207240785871,0.4113856211389814,0.9407580528259277,0.8791654013225011,0.6159264481408255,0.8791654706001282,0.860527753829956,0.74355149269104,0.7406417727470398,0.38407352566719055,0.3845468759536743,0.19946840405464172,0.5698702931404114,0.0072222440503537655,0.006971796974539757,0.06612110882997513,0.06576933711767197,1.9079185724258423,1.889327883720398,0.955420196056366,0.011102871969342232,0.9567593336105347,0.9355539679527283,0.9705637693405151,17.04812240600586,16.910694122314453
16,0.0009975414512725057,0.6674948945045471,0.6282598256383624,0.3923506765365601,0.9531083678518023,0.8909772030285427,0.62131170633861,0.8909772038459778,0.870276689529419,0.7483900189399719,0.7460249066352844,0.3786882758140564,0.3766542375087738,0.19311772286891937,0.5734556913375854,0.007326401770114899,0.007060767617076635,0.06656000763177872,0.06623853743076324,1.9211055040359497,1.9013450145721436,0.9547799825668335,0.01145256869494915,0.956149160861969,0.9338454604148865,0.9703940153121948,17.166378021240234,17.03046417236328
17,0.0009966546331768192,0.6444248610224043,0.6069062841960362,0.37518578454426355,0.9642408576011657,0.901782719203404,0.6245813359533038,0.9017826914787292,0.880987286567688,0.7529399991035461,0.7495152950286865,0.37541866302490234,0.3740975260734558,0.1868494600057602,0.5708203911781311,0.007412947714328766,0.007158678490668535,0.0669650062918663,0.0665735974907875,1.9323033094406128,1.914482593536377,0.9542519450187683,0.011575157754123211,0.955634355545044,0.9333430528640747,0.9704035520553589,17.266136169433594,17.130882263183594
18,0.0009956320346634876,0.623096682207925,0.5871263196808951,0.3597035960469927,0.9707421573230198,0.9080742192268372,0.6266794448580061,0.9080742001533508,0.8886653184890747,0.7552895545959473,0.7537543177604675,0.3733205199241638,0.37007203698158264,0.18317943811416626,0.5779216289520264,0.007464386988431215,0.007213907316327095,0.06716674566268921,0.06691424548625946,1.938535213470459,1.9218534231185913,0.953938901424408,0.011805936694145203,0.9552618861198425,0.9326227307319641,0.9706810712814331,17.32146453857422,17.203189849853516
