Epoch 59 | Train Loss: 0.9062 | Val Cheap Loss: 1.0206 | Val Last-T Loss: 1.0222
Epoch 60 | Train Loss: 0.9047 | Val Cheap Loss: 1.0201 | Val Last-T Loss: 1.0216
Epoch 61 | Train Loss: 0.9032 | Val Cheap Loss: 1.0251 | Val Last-T Loss: 1.0245
Epoch 62 | Train Loss: 0.9008 | Val Cheap Loss: 1.0237 | Val Last-T Loss: 1.0226
Epoch 63 | Train Loss: 0.8996 | Val Cheap Loss: 1.0210 | Val Last-T Loss: 1.0228
Epoch 64 | Train Loss: 0.8974 | Val Cheap Loss: 1.0214 | Val Last-T Loss: 1.0221
Epoch 65 | Train Loss: 0.8963 | Val Cheap Loss: 1.0232 | Val Last-T Loss: 1.0206
Epoch 66 | Train Loss: 0.8947 | Val Cheap Loss: 1.0243 | Val Last-T Loss: 1.0202
Epoch 67 | Train Loss: 0.8942 | Val Cheap Loss: 1.0257 | Val Last-T Loss: 1.0198
Epoch 68 | Train Loss: 0.8920 | Val Cheap Loss: 1.0232 | Val Last-T Loss: 1.0195
Epoch 69 | Train Loss: 0.8909 | Val Cheap Loss: 1.0235 | Val Last-T Loss: 1.0196
Epoch 70 | Train Loss: 0.8899 | Val Cheap Loss: 1.0215 | Val Last-T Loss: 1.0187
Epoch 71 | Train Loss: 0.8881 | Val Cheap Loss: 1.0232 | Val Last-T Loss: 1.0188
Epoch 72 | Train Loss: 0.8868 | Val Cheap Loss: 1.0266 | Val Last-T Loss: 1.0174
Epoch 73 | Train Loss: 0.8851 | Val Cheap Loss: 1.0238 | Val Last-T Loss: 1.0168
Epoch 74 | Train Loss: 0.8842 | Val Cheap Loss: 1.0231 | Val Last-T Loss: 1.0186
Epoch 75 | Train Loss: 0.8834 | Val Cheap Loss: 1.0261 | Val Last-T Loss: 1.0206 | Val TACOs L1: 1.0469
Epoch 76 | Train Loss: 0.8817 | Val Cheap Loss: 1.0279 | Val Last-T Loss: 1.0204
Epoch 77 | Train Loss: 0.8805 | Val Cheap Loss: 1.0260 | Val Last-T Loss: 1.0177
Epoch 78 | Train Loss: 0.8789 | Val Cheap Loss: 1.0245 | Val Last-T Loss: 1.0165
Epoch 79 | Train Loss: 0.8775 | Val Cheap Loss: 1.0310 | Val Last-T Loss: 1.0194
Epoch 80 | Train Loss: 0.8765 | Val Cheap Loss: 1.0300 | Val Last-T Loss: 1.0168
Epoch 81 | Train Loss: 0.8755 | Val Cheap Loss: 1.0287 | Val Last-T Loss: 1.0195
Epoch 82 | Train Loss: 0.8741 | Val Cheap Loss: 1.0284 | Val Last-T Loss: 1.0186
Epoch 83 | Train Loss: 0.8728 | Val Cheap Loss: 1.0301 | Val Last-T Loss: 1.0184
Epoch 84 | Train Loss: 0.8719 | Val Cheap Loss: 1.0332 | Val Last-T Loss: 1.0182
Epoch 85 | Train Loss: 0.8708 | Val Cheap Loss: 1.0273 | Val Last-T Loss: 1.0203
Epoch 86 | Train Loss: 0.8697 | Val Cheap Loss: 1.0329 | Val Last-T Loss: 1.0209
Epoch 87 | Train Loss: 0.8689 | Val Cheap Loss: 1.0367 | Val Last-T Loss: 1.0192
Epoch 88 | Train Loss: 0.8672 | Val Cheap Loss: 1.0312 | Val Last-T Loss: 1.0186
Epoch 89 | Train Loss: 0.8657 | Val Cheap Loss: 1.0360 | Val Last-T Loss: 1.0173
Epoch 90 | Train Loss: 0.8647 | Val Cheap Loss: 1.0337 | Val Last-T Loss: 1.0146
Epoch 91 | Train Loss: 0.8637 | Val Cheap Loss: 1.0344 | Val Last-T Loss: 1.0194
Epoch 92 | Train Loss: 0.8638 | Val Cheap Loss: 1.0358 | Val Last-T Loss: 1.0174
Epoch 93 | Train Loss: 0.8624 | Val Cheap Loss: 1.0329 | Val Last-T Loss: 1.0172
Epoch 94 | Train Loss: 0.8609 | Val Cheap Loss: 1.0352 | Val Last-T Loss: 1.0168
Epoch 95 | Train Loss: 0.8595 | Val Cheap Loss: 1.0418 | Val Last-T Loss: 1.0207
Epoch 96 | Train Loss: 0.8586 | Val Cheap Loss: 1.0363 | Val Last-T Loss: 1.0168
Epoch 97 | Train Loss: 0.8578 | Val Cheap Loss: 1.0368 | Val Last-T Loss: 1.0166
Epoch 98 | Train Loss: 0.8563 | Val Cheap Loss: 1.0395 | Val Last-T Loss: 1.0186
Epoch 99 | Train Loss: 0.8550 | Val Cheap Loss: 1.0373 | Val Last-T Loss: 1.0167
Epoch 100 | Train Loss: 0.8545 | Val Cheap Loss: 1.0440 | Val Last-T Loss: 1.0188 | Val TACOs L1: 1.0494
Epoch 101 | Train Loss: 0.8540 | Val Cheap Loss: 1.0349 | Val Last-T Loss: 1.0142
Epoch 102 | Train Loss: 0.8520 | Val Cheap Loss: 1.0390 | Val Last-T Loss: 1.0168
Epoch 103 | Train Loss: 0.8515 | Val Cheap Loss: 1.0385 | Val Last-T Loss: 1.0163
Epoch 104 | Train Loss: 0.8504 | Val Cheap Loss: 1.0374 | Val Last-T Loss: 1.0156
Epoch 105 | Train Loss: 0.8496 | Val Cheap Loss: 1.0397 | Val Last-T Loss: 1.0167
Epoch 106 | Train Loss: 0.8486 | Val Cheap Loss: 1.0442 | Val Last-T Loss: 1.0156
Epoch 107 | Train Loss: 0.8473 | Val Cheap Loss: 1.0416 | Val Last-T Loss: 1.0163
Epoch 108 | Train Loss: 0.8475 | Val Cheap Loss: 1.0420 | Val Last-T Loss: 1.0170
Epoch 109 | Train Loss: 0.8457 | Val Cheap Loss: 1.0428 | Val Last-T Loss: 1.0169
Epoch 110 | Train Loss: 0.8451 | Val Cheap Loss: 1.0414 | Val Last-T Loss: 1.0169
