Loaded train: 9999 valid rows from 10000 common rows (semantic rows=63000, identity rows=10000)
Loaded val: 7000 valid rows from 7000 common rows (semantic rows=7000, identity rows=7000)

Training identity projector
Dataset root: /nas-ctm01/homes/dacordeiro/Face-DM/encoded_ffhq256_semantic_split
Output path:  /nas-ctm01/homes/dacordeiro/Face-DM/encoded_ffhq256_semantic_split/identity/identity_projector.pt
Train rows:   9999
Val rows:     7000
Device:       cuda

Epoch 052 | train loss 0.175653 | train cos 0.824347 | val cos 0.152223 | val p05 0.016206 | val top1 0.1107
Epoch 053 | train loss 0.173992 | train cos 0.826008 | val cos 0.151963 | val p05 0.016112 | val top1 0.1110
Epoch 054 | train loss 0.172505 | train cos 0.827495 | val cos 0.151595 | val p05 0.015330 | val top1 0.1089
Epoch 055 | train loss 0.171125 | train cos 0.828875 | val cos 0.150780 | val p05 0.015531 | val top1 0.1104
Epoch 056 | train loss 0.169535 | train cos 0.830465 | val cos 0.150310 | val p05 0.016206 | val top1 0.1091
Epoch 057 | train loss 0.168274 | train cos 0.831726 | val cos 0.149928 | val p05 0.014575 | val top1 0.1080
Epoch 058 | train loss 0.166662 | train cos 0.833338 | val cos 0.149354 | val p05 0.014388 | val top1 0.1096
Epoch 059 | train loss 0.165525 | train cos 0.834475 | val cos 0.148908 | val p05 0.013281 | val top1 0.1061
Epoch 060 | train loss 0.163963 | train cos 0.836037 | val cos 0.148361 | val p05 0.013634 | val top1 0.1050
Epoch 061 | train loss 0.162716 | train cos 0.837284 | val cos 0.148257 | val p05 0.013825 | val top1 0.1039
Epoch 062 | train loss 0.161669 | train cos 0.838331 | val cos 0.147726 | val p05 0.013798 | val top1 0.1040
Epoch 063 | train loss 0.160660 | train cos 0.839340 | val cos 0.146899 | val p05 0.012260 | val top1 0.1011
Epoch 064 | train loss 0.159541 | train cos 0.840459 | val cos 0.146273 | val p05 0.012420 | val top1 0.1013
Epoch 065 | train loss 0.158250 | train cos 0.841750 | val cos 0.146238 | val p05 0.011025 | val top1 0.1011
Epoch 066 | train loss 0.157072 | train cos 0.842928 | val cos 0.146125 | val p05 0.011177 | val top1 0.1000
Epoch 067 | train loss 0.155693 | train cos 0.844307 | val cos 0.145261 | val p05 0.010281 | val top1 0.1010
Epoch 068 | train loss 0.154673 | train cos 0.845327 | val cos 0.144934 | val p05 0.010280 | val top1 0.0984
Epoch 069 | train loss 0.153833 | train cos 0.846167 | val cos 0.144815 | val p05 0.010605 | val top1 0.0991
Epoch 070 | train loss 0.153157 | train cos 0.846843 | val cos 0.144298 | val p05 0.008693 | val top1 0.0961
Epoch 071 | train loss 0.152260 | train cos 0.847740 | val cos 0.144033 | val p05 0.009314 | val top1 0.0949
Epoch 072 | train loss 0.151217 | train cos 0.848783 | val cos 0.143532 | val p05 0.008884 | val top1 0.0983
Epoch 073 | train loss 0.150379 | train cos 0.849621 | val cos 0.142950 | val p05 0.008560 | val top1 0.0966
Epoch 074 | train loss 0.149300 | train cos 0.850700 | val cos 0.142974 | val p05 0.009289 | val top1 0.0966
Epoch 075 | train loss 0.148630 | train cos 0.851370 | val cos 0.142294 | val p05 0.009537 | val top1 0.0937
Epoch 076 | train loss 0.147606 | train cos 0.852394 | val cos 0.142463 | val p05 0.007248 | val top1 0.0929
Epoch 077 | train loss 0.146801 | train cos 0.853199 | val cos 0.141778 | val p05 0.007162 | val top1 0.0934
Epoch 078 | train loss 0.145833 | train cos 0.854167 | val cos 0.141620 | val p05 0.007289 | val top1 0.0931
Epoch 079 | train loss 0.145120 | train cos 0.854880 | val cos 0.140968 | val p05 0.006285 | val top1 0.0910
Epoch 080 | train loss 0.144348 | train cos 0.855652 | val cos 0.140870 | val p05 0.007267 | val top1 0.0917
Epoch 081 | train loss 0.143656 | train cos 0.856344 | val cos 0.140006 | val p05 0.005275 | val top1 0.0913
Epoch 082 | train loss 0.143026 | train cos 0.856974 | val cos 0.140430 | val p05 0.005845 | val top1 0.0904
Epoch 083 | train loss 0.142159 | train cos 0.857841 | val cos 0.139768 | val p05 0.007062 | val top1 0.0897
Epoch 084 | train loss 0.141664 | train cos 0.858336 | val cos 0.139844 | val p05 0.005209 | val top1 0.0901
Epoch 085 | train loss 0.140715 | train cos 0.859285 | val cos 0.139219 | val p05 0.006858 | val top1 0.0897
Epoch 086 | train loss 0.140063 | train cos 0.859937 | val cos 0.139146 | val p05 0.005755 | val top1 0.0881
Epoch 087 | train loss 0.139508 | train cos 0.860492 | val cos 0.138604 | val p05 0.004993 | val top1 0.0891
Epoch 088 | train loss 0.138727 | train cos 0.861273 | val cos 0.138499 | val p05 0.005200 | val top1 0.0870
Epoch 089 | train loss 0.138133 | train cos 0.861867 | val cos 0.137896 | val p05 0.005583 | val top1 0.0877
Epoch 090 | train loss 0.137441 | train cos 0.862559 | val cos 0.137946 | val p05 0.004471 | val top1 0.0854
Epoch 091 | train loss 0.136831 | train cos 0.863169 | val cos 0.137624 | val p05 0.004849 | val top1 0.0873
Epoch 092 | train loss 0.136164 | train cos 0.863836 | val cos 0.137144 | val p05 0.005035 | val top1 0.0881
Epoch 093 | train loss 0.135448 | train cos 0.864552 | val cos 0.136994 | val p05 0.004292 | val top1 0.0871
Epoch 094 | train loss 0.135221 | train cos 0.864779 | val cos 0.136916 | val p05 0.004695 | val top1 0.0850
Epoch 095 | train loss 0.134428 | train cos 0.865572 | val cos 0.136415 | val p05 0.003694 | val top1 0.0844
Epoch 096 | train loss 0.134085 | train cos 0.865915 | val cos 0.135811 | val p05 0.003616 | val top1 0.0854
Epoch 097 | train loss 0.133502 | train cos 0.866498 | val cos 0.135954 | val p05 0.002234 | val top1 0.0839
Epoch 098 | train loss 0.132982 | train cos 0.867018 | val cos 0.135513 | val p05 0.002270 | val top1 0.0829
Epoch 099 | train loss 0.132407 | train cos 0.867593 | val cos 0.135184 | val p05 0.002901 | val top1 0.0840
Epoch 100 | train loss 0.131870 | train cos 0.868130 | val cos 0.135210 | val p05 0.003624 | val top1 0.0843

Done.
Best epoch: 4
Best val cosine: 0.235647
Saved projector to: /nas-ctm01/homes/dacordeiro/Face-DM/encoded_ffhq256_semantic_split/identity/identity_projector.pt
Saved metrics to:   /nas-ctm01/homes/dacordeiro/Face-DM/encoded_ffhq256_semantic_split/identity/identity_projector.metrics.json
