Epoch 59 | Train Loss: 1.2701 | Val Cheap Loss: 1.2851 | Val Last-T Loss: 1.5397
Epoch 60 | Train Loss: 1.2585 | Val Cheap Loss: 1.2836 | Val Last-T Loss: 1.5333
Epoch 61 | Train Loss: 1.2508 | Val Cheap Loss: 1.2785 | Val Last-T Loss: 1.5416
Epoch 62 | Train Loss: 1.2454 | Val Cheap Loss: 1.2730 | Val Last-T Loss: 1.5419
Epoch 63 | Train Loss: 1.2407 | Val Cheap Loss: 1.2569 | Val Last-T Loss: 1.5162
Epoch 64 | Train Loss: 1.2370 | Val Cheap Loss: 1.2650 | Val Last-T Loss: 1.5186
Epoch 65 | Train Loss: 1.2345 | Val Cheap Loss: 1.2494 | Val Last-T Loss: 1.5097
Epoch 66 | Train Loss: 1.2305 | Val Cheap Loss: 1.2440 | Val Last-T Loss: 1.5110
Epoch 67 | Train Loss: 1.2294 | Val Cheap Loss: 1.2608 | Val Last-T Loss: 1.5241
Epoch 68 | Train Loss: 1.2301 | Val Cheap Loss: 1.2491 | Val Last-T Loss: 1.5126
Epoch 69 | Train Loss: 1.2247 | Val Cheap Loss: 1.2498 | Val Last-T Loss: 1.5077
Epoch 70 | Train Loss: 1.2224 | Val Cheap Loss: 1.2568 | Val Last-T Loss: 1.5221
