Loading data...
Epoch 099 | train_loss: 0.0493 | val_loss: 0.3138
Epoch 100 | train_loss: 0.0488 | val_loss: 0.3130 | val_sample_l1: 0.4630
Epoch 101 | train_loss: 0.0487 | val_loss: 0.3148
Epoch 102 | train_loss: 0.0487 | val_loss: 0.3139
Epoch 103 | train_loss: 0.0486 | val_loss: 0.3147
Epoch 104 | train_loss: 0.0481 | val_loss: 0.3156
Epoch 105 | train_loss: 0.0478 | val_loss: 0.3126
Epoch 106 | train_loss: 0.0483 | val_loss: 0.3161
Epoch 107 | train_loss: 0.0485 | val_loss: 0.3138
Epoch 108 | train_loss: 0.0476 | val_loss: 0.3162
Epoch 109 | train_loss: 0.0474 | val_loss: 0.3135
Epoch 110 | train_loss: 0.0465 | val_loss: 0.3124 | val_sample_l1: 0.4639
Epoch 111 | train_loss: 0.0467 | val_loss: 0.3115
Epoch 112 | train_loss: 0.0473 | val_loss: 0.3136
Epoch 113 | train_loss: 0.0461 | val_loss: 0.3115
Epoch 114 | train_loss: 0.0462 | val_loss: 0.3141
Epoch 115 | train_loss: 0.0463 | val_loss: 0.3167
Epoch 116 | train_loss: 0.0465 | val_loss: 0.3128
Epoch 117 | train_loss: 0.0462 | val_loss: 0.3125
Epoch 118 | train_loss: 0.0461 | val_loss: 0.3126
Epoch 119 | train_loss: 0.0457 | val_loss: 0.3133
Epoch 120 | train_loss: 0.0457 | val_loss: 0.3088 | val_sample_l1: 0.4641
Epoch 121 | train_loss: 0.0458 | val_loss: 0.3135
Epoch 122 | train_loss: 0.0449 | val_loss: 0.3084
Epoch 123 | train_loss: 0.0446 | val_loss: 0.3138
Epoch 124 | train_loss: 0.0445 | val_loss: 0.3144
Epoch 125 | train_loss: 0.0446 | val_loss: 0.3135
Epoch 126 | train_loss: 0.0442 | val_loss: 0.3110
Epoch 127 | train_loss: 0.0443 | val_loss: 0.3134
Epoch 128 | train_loss: 0.0440 | val_loss: 0.3118
Epoch 129 | train_loss: 0.0437 | val_loss: 0.3108
Epoch 130 | train_loss: 0.0440 | val_loss: 0.3172 | val_sample_l1: 0.4621
Epoch 131 | train_loss: 0.0434 | val_loss: 0.3120
Epoch 132 | train_loss: 0.0441 | val_loss: 0.3109
Epoch 133 | train_loss: 0.0442 | val_loss: 0.3138
Epoch 134 | train_loss: 0.0437 | val_loss: 0.3131
Epoch 135 | train_loss: 0.0432 | val_loss: 0.3142
Epoch 136 | train_loss: 0.0426 | val_loss: 0.3148
Epoch 137 | train_loss: 0.0426 | val_loss: 0.3129
Epoch 138 | train_loss: 0.0423 | val_loss: 0.3116
Epoch 139 | train_loss: 0.0422 | val_loss: 0.3146
Epoch 140 | train_loss: 0.0426 | val_loss: 0.3135 | val_sample_l1: 0.4629
Epoch 141 | train_loss: 0.0428 | val_loss: 0.3150
Epoch 142 | train_loss: 0.0421 | val_loss: 0.3106
