Loading datasets into memory...
Epoch 93 | Train Loss: 0.1363 | Val Loss: 0.1433 
Epoch 94 | Train Loss: 0.1358 | Val Loss: 0.1447 
Epoch 95 | Train Loss: 0.1338 | Val Loss: 0.1360 
Epoch 96 | Train Loss: 0.1340 | Val Loss: 0.1460 
Epoch 97 | Train Loss: 0.1382 | Val Loss: 0.1479 
Epoch 98 | Train Loss: 0.1356 | Val Loss: 0.1364 
Epoch 99 | Train Loss: 0.1323 | Val Loss: 0.1404 
Epoch 100 | Train Loss: 0.1345 | Val Loss: 0.1468 | Sample L1: 0.2219
Epoch 101 | Train Loss: 0.1370 | Val Loss: 0.1396 
Epoch 102 | Train Loss: 0.1300 | Val Loss: 0.1317 
Epoch 103 | Train Loss: 0.1292 | Val Loss: 0.1391 
Epoch 104 | Train Loss: 0.1248 | Val Loss: 0.1325 
Epoch 105 | Train Loss: 0.1267 | Val Loss: 0.1381 
Epoch 106 | Train Loss: 0.1247 | Val Loss: 0.1296 
Epoch 107 | Train Loss: 0.1233 | Val Loss: 0.1335 
Epoch 108 | Train Loss: 0.1237 | Val Loss: 0.1291 
Epoch 109 | Train Loss: 0.1262 | Val Loss: 0.1302 
Epoch 110 | Train Loss: 0.1233 | Val Loss: 0.1315 
Epoch 111 | Train Loss: 0.1242 | Val Loss: 0.1320 
Epoch 112 | Train Loss: 0.1232 | Val Loss: 0.1311 
Epoch 113 | Train Loss: 0.1232 | Val Loss: 0.1230 
Epoch 114 | Train Loss: 0.1235 | Val Loss: 0.1280 
Epoch 115 | Train Loss: 0.1195 | Val Loss: 0.1261 
Epoch 116 | Train Loss: 0.1209 | Val Loss: 0.1302 
Epoch 117 | Train Loss: 0.1242 | Val Loss: 0.1311 
Epoch 118 | Train Loss: 0.1203 | Val Loss: 0.1289 
Epoch 119 | Train Loss: 0.1181 | Val Loss: 0.1201 
Epoch 120 | Train Loss: 0.1178 | Val Loss: 0.1220 
Epoch 121 | Train Loss: 0.1141 | Val Loss: 0.1265 
Epoch 122 | Train Loss: 0.1143 | Val Loss: 0.1239 
Epoch 123 | Train Loss: 0.1148 | Val Loss: 0.1261 
Epoch 124 | Train Loss: 0.1127 | Val Loss: 0.1202 
Epoch 125 | Train Loss: 0.1129 | Val Loss: 0.1284 | Sample L1: 0.1913
Epoch 126 | Train Loss: 0.1144 | Val Loss: 0.1259 
Epoch 127 | Train Loss: 0.1114 | Val Loss: 0.1200 
Epoch 128 | Train Loss: 0.1136 | Val Loss: 0.1293 
Epoch 129 | Train Loss: 0.1203 | Val Loss: 0.1276 
