Loading datasets into memory...
Epoch 1 | Train Loss: 0.8290 | Val Loss: 0.8584 
Epoch 2 | Train Loss: 0.6686 | Val Loss: 0.8263 
Epoch 3 | Train Loss: 0.5847 | Val Loss: 0.8044 
Epoch 4 | Train Loss: 0.5309 | Val Loss: 0.7964 
Epoch 5 | Train Loss: 0.4926 | Val Loss: 0.7919 
Epoch 6 | Train Loss: 0.4584 | Val Loss: 0.7992 
Epoch 7 | Train Loss: 0.4400 | Val Loss: 0.7982 
Epoch 8 | Train Loss: 0.4205 | Val Loss: 0.8046 
Epoch 9 | Train Loss: 0.4144 | Val Loss: 0.8057 
Epoch 10 | Train Loss: 0.4059 | Val Loss: 0.8060 
Epoch 11 | Train Loss: 0.3884 | Val Loss: 0.8192 
Epoch 12 | Train Loss: 0.3872 | Val Loss: 0.8037 
Epoch 13 | Train Loss: 0.3765 | Val Loss: 0.7954 
Epoch 14 | Train Loss: 0.3722 | Val Loss: 0.7889 
Epoch 15 | Train Loss: 0.3672 | Val Loss: 0.7790 
Epoch 16 | Train Loss: 0.3533 | Val Loss: 0.7769 
Epoch 17 | Train Loss: 0.3512 | Val Loss: 0.7579 
Epoch 18 | Train Loss: 0.3454 | Val Loss: 0.7586 
Epoch 19 | Train Loss: 0.3249 | Val Loss: 0.7470 
Epoch 20 | Train Loss: 0.3202 | Val Loss: 0.7342 
Epoch 21 | Train Loss: 0.3204 | Val Loss: 0.7363 
Epoch 22 | Train Loss: 0.3101 | Val Loss: 0.7358 
Epoch 23 | Train Loss: 0.3043 | Val Loss: 0.7444 
Epoch 24 | Train Loss: 0.2924 | Val Loss: 0.7301 
Epoch 25 | Train Loss: 0.2946 | Val Loss: 0.7421 | Sample L1: 0.9017
Epoch 26 | Train Loss: 0.2864 | Val Loss: 0.7349 
Epoch 27 | Train Loss: 0.2869 | Val Loss: 0.7102 
Epoch 28 | Train Loss: 0.2752 | Val Loss: 0.7438 
Epoch 29 | Train Loss: 0.2730 | Val Loss: 0.7272 
Epoch 30 | Train Loss: 0.2668 | Val Loss: 0.7188 
Epoch 31 | Train Loss: 0.2610 | Val Loss: 0.7366 
Epoch 32 | Train Loss: 0.2556 | Val Loss: 0.7256 
Epoch 33 | Train Loss: 0.2508 | Val Loss: 0.7285 
Epoch 34 | Train Loss: 0.2440 | Val Loss: 0.7201 
Epoch 35 | Train Loss: 0.2426 | Val Loss: 0.7200 
Epoch 36 | Train Loss: 0.2433 | Val Loss: 0.7263 
Epoch 37 | Train Loss: 0.2405 | Val Loss: 0.7188 
Epoch 38 | Train Loss: 0.2354 | Val Loss: 0.7413 
Epoch 39 | Train Loss: 0.2332 | Val Loss: 0.7357 
Epoch 40 | Train Loss: 0.2249 | Val Loss: 0.7275 
Epoch 41 | Train Loss: 0.2225 | Val Loss: 0.7419 
Epoch 42 | Train Loss: 0.2209 | Val Loss: 0.7496 
Epoch 43 | Train Loss: 0.2150 | Val Loss: 0.7234 
Epoch 44 | Train Loss: 0.2141 | Val Loss: 0.7252 
Epoch 45 | Train Loss: 0.2108 | Val Loss: 0.7316 
Epoch 46 | Train Loss: 0.2125 | Val Loss: 0.7404 
Epoch 47 | Train Loss: 0.2093 | Val Loss: 0.7426 

[EARLY STOPPING TRIGGERED]

--- CONDITIONAL EVALUATION ---
Recovered Target L1 Distance : 0.899419
Recovered Target Cosine Sim  : 0.243489

