epoch,lr,train_loss,train_cosine_loss,train_mse_loss,val_loss,val_cosine_loss,val_mse_loss,val_cosine_mean,val_cosine_std,val_cosine_median,val_cosine_p05,val_cosine_p95,val_cosine_min,val_cosine_max,val_l2_mean,val_l2_median,val_angle_deg_mean,val_angle_deg_median
1,0.0001009090909090909,0.7491086805888585,0.7461938593047006,0.002914819919105087,0.5951806759153093,0.5928647959572928,0.0023158782624772617,0.4071351885795593,0.10747842490673065,0.40405145287513733,0.23395554721355438,0.5920389294624329,-0.021448291838169098,0.7746690511703491,1.0842194557189941,1.091740369796753,65.78600311279297,66.16829681396484
2,0.0002009090909090909,0.5445332412379129,0.5424144370896475,0.0021188065391033887,0.4838932141917092,0.4820103618076869,0.0018828531688611422,0.5179896354675293,0.10242392867803574,0.519656240940094,0.3485783040523529,0.6855800747871399,0.04568412899971008,0.8325203061103821,0.9760913848876953,0.9801467657089233,58.542232513427734,58.6907958984375
3,0.0003009090909090909,0.4641193338121687,0.46231341988699776,0.001805911945445197,0.43712370552335467,0.43542283310209,0.0017008706178250057,0.5645771622657776,0.09936866164207458,0.5684194564819336,0.39514651894569397,0.721318781375885,0.022764313966035843,0.868154764175415,0.9269540905952454,0.9290646314620972,55.33444595336914,55.35991668701172
4,0.0004009090909090909,0.4245212623051235,0.4228694301332746,0.001651833909164582,0.4183985306535448,0.4167705206189837,0.0016280100279088532,0.5832294821739197,0.10046949237585068,0.5877986550331116,0.4149581491947174,0.7396280765533447,-0.0014531537890434265,0.880146861076355,0.9062011241912842,0.9079662561416626,53.99939727783203,53.999046325683594
5,0.0005009090909090909,0.39983720118658883,0.39828141396386285,0.001555786940136126,0.4077031160422734,0.4061167225156512,0.0015863936120378119,0.593883216381073,0.10019911080598831,0.5981475114822388,0.42046061158180237,0.7497223615646362,0.02762593701481819,0.8786550164222717,0.8942469954490662,0.8964959979057312,53.231929779052734,53.262657165527344
6,0.000600909090909091,0.3800566039425986,0.3785777837208339,0.0014788196278469902,0.4019731980732509,0.40040909937449864,0.0015640982034217034,0.5995908379554749,0.10057816654443741,0.6040647029876709,0.42682236433029175,0.7570497989654541,0.02627699077129364,0.8834069967269897,0.8876780271530151,0.8898711204528809,52.812625885009766,52.83842468261719
7,0.0007009090909090909,0.362328825712204,0.3609189861161368,0.0014098399539611169,0.40100360890797204,0.39944328233173915,0.0015603254436116134,0.6005566120147705,0.10414087027311325,0.6056053638458252,0.4199697971343994,0.7618178129196167,-0.005802914500236511,0.8877416253089905,0.8860417008399963,0.8881381750106812,52.71641540527344,52.72758483886719
8,0.000800909090909091,0.34541835039002555,0.34407431057521276,0.001344040446116456,0.4048743621621813,0.4032989773750305,0.001575386743992567,0.5967010259628296,0.10640749335289001,0.6021331548690796,0.4152214527130127,0.7634705305099487,0.04879406467080116,0.8912938237190247,0.8900919556617737,0.8920389413833618,52.9808349609375,52.97716522216797
9,0.0009009090909090909,0.3291451782839639,0.32786445849282403,0.0012807207482733896,0.4074287265709468,0.40584339918409074,0.0015853259200230242,0.5941566228866577,0.10979013890028,0.5987177491188049,0.40520867705345154,0.7663685083389282,0.048206720501184464,0.891729474067688,0.8924816250801086,0.8958596587181091,53.141998291015625,53.22187805175781
10,0.001,0.3132354301725115,0.31201661614009313,0.0012188151244606291,0.41202320766448974,0.41042000477654594,0.0016032033196783492,0.5895799994468689,0.1131465882062912,0.5942631363868713,0.3921065926551819,0.7687646150588989,0.06874574720859528,0.8962308168411255,0.8971304893493652,0.900818407535553,53.44839859008789,53.539878845214844
11,0.0009999316524962345,0.2953360948222024,0.29418692772729055,0.0011491678615233728,0.4129417217799595,0.4113349404335022,0.001606777284294367,0.5886650681495667,0.115912064909935,0.5938150882720947,0.39205801486968994,0.7738403677940369,-0.0144462576135993,0.909984827041626,0.8976791501045227,0.9013155698776245,53.4910888671875,53.5717887878418
12,0.000999726628670463,0.27281569749968393,0.2717541581562587,0.0010615398539230228,0.4157850975309099,0.41416725744519917,0.0016178410026643957,0.5858327150344849,0.11884301900863647,0.5902986526489258,0.38329577445983887,0.7765966057777405,0.020648930221796036,0.9322832822799683,0.9003614783287048,0.9052087068557739,53.67121505737305,53.82179260253906
13,0.0009993849845741523,0.25167419324602397,0.25069491706575664,0.0009792771999325072,0.4170671935762678,0.4154443655695234,0.0016228297347468989,0.5845555663108826,0.12080392986536026,0.5886886119842529,0.37946444749832153,0.7807677984237671,0.026042133569717407,0.9224339723587036,0.901409924030304,0.9069856405258179,53.74430465698242,53.93599319458008
14,0.0009989068136093873,0.23338261706488472,0.23247451305389405,0.0009081037723060165,0.4203642896243504,0.4187286305427551,0.0016356588492968253,0.5812713503837585,0.12369199097156525,0.5836524963378906,0.3721174895763397,0.7802573442459106,0.01862892135977745,0.9251788854598999,0.9045864343643188,0.9125211238861084,53.95656967163086,54.292144775390625
15,0.000998292246503335,0.2176620727096285,0.21681513963426863,0.00084693433384278,0.4221472858360836,0.42050468819481984,0.0016425965830151523,0.5794953107833862,0.12583455443382263,0.5809009075164795,0.3673623502254486,0.7843659520149231,0.0426739938557148,0.9304869174957275,0.9061855673789978,0.9155316352844238,54.065673828125,54.48606872558594
16,0.0009975414512725057,0.20416931218760354,0.20337487867900303,0.0007944333026451724,0.4233922817707062,0.42174484307425364,0.0016474410316773824,0.5782551765441895,0.12603910267353058,0.5800777077674866,0.3687399625778198,0.7851407527923584,0.027141880244016647,0.9383037090301514,0.9074770212173462,0.9164304137229919,54.149715423583984,54.54399108886719
17,0.0009966546331768192,0.192860810143607,0.1921103788103376,0.0007504313918761909,0.4252704484803336,0.42361570038114277,0.0016547490368996347,0.5763843059539795,0.12704375386238098,0.5774579644203186,0.3654775023460388,0.786961555480957,0.014186831191182137,0.9256523251533508,0.909355878829956,0.9192846417427063,54.27372741699219,54.728050231933594
18,0.0009956320346634876,0.1830774848972048,0.18236512095587595,0.0007123639563630734,0.4266437757355826,0.42498368494851246,0.0016600925931707024,0.5750163197517395,0.12759335339069366,0.5766064524650574,0.3647668957710266,0.7854905724525452,0.03160029649734497,0.9392129182815552,0.910751461982727,0.9202104210853577,54.365394592285156,54.78778839111328
19,0.0009944739353007343,0.17470257364000594,0.17402279649462019,0.0006797767228979085,0.4274962777069637,0.4258328686441694,0.0016634098021313549,0.5741671323776245,0.12848755717277527,0.5753900408744812,0.3609808087348938,0.79092937707901,0.03855329006910324,0.941692590713501,0.9115124344825745,0.9215312004089355,54.417240142822266,54.873046875
